student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
987232,3.9,96.7,6.7,53.9,D
79955,17.1,73.9,5.4,77.3,B
567131,8.7,98.7,3.0,75.0,B
500892,15.0,92.7,0.1,85.7,A
55400,0.9,87.0,5.4,30.8,F
135050,3.8,78.1,2.6,62.3,C
733379,4.1,95.0,6.3,74.0,B
732058,4.2,86.5,3.3,68.9,C
51334,15.5,82.7,2.4,83.7,B
731480,12.5,67.2,4.0,95.5,A
399759,17.3,99.4,6.1,95.9,A
401398,14.8,78.8,10.0,81.0,B
855486,24.0,76.5,4.1,100.0,A
858885,15.9,71.1,4.3,97.1,A
503248,12.6,95.0,5.7,62.3,C
864742,21.9,88.4,9.0,100.0,A
35033,1.5,67.7,9.4,47.9,D
995704,28.9,67.8,6.9,100.0,A
376762,24.6,71.3,7.4,100.0,A
811354,11.0,85.2,3.7,99.9,A
577746,10.6,76.9,8.2,77.9,B
659807,3.8,85.9,5.1,62.2,C
219340,23.7,69.5,6.2,100.0,A
979756,15.8,94.1,6.2,98.4,A
625692,8.5,79.8,3.3,77.1,B
215340,20.5,88.5,4.3,100.0,A
443418,14.1,74.1,10.0,78.7,B
980329,2.8,75.7,6.7,54.7,D
336984,10.0,93.8,7.1,87.6,A
518813,17.2,97.4,3.5,69.1,C
943379,0.4,84.8,4.2,49.6,D
2086,6.5,83.8,7.5,69.2,C
663616,9.8,76.9,3.9,69.4,C
677815,16.7,66.9,7.5,82.8,B
957738,16.3,85.2,9.6,86.1,A
543083,5.2,77.2,7.8,60.6,C
529928,5.5,81.4,8.2,67.6,C
66337,11.2,84.0,5.0,91.7,A
272967,16.6,62.5,6.6,100.0,A
876376,20.7,73.1,6.7,100.0,A
443182,17.3,71.7,4.6,86.1,A
38748,16.6,90.7,5.9,100.0,A
244519,22.5,98.4,10.0,100.0,A
321942,18.2,80.8,6.8,100.0,A
212424,12.9,88.1,6.9,75.8,B
684488,14.0,97.4,6.6,94.5,A
